Артикул,Название товара,Ссылка,Цена,Цена со скидкой,Бренд
255027,"Сыр творожный Cream Nuvo Professional 70%, 2.2кг",https://online.metro-cc.ru/products/22kg-syr-tvorozhnyy-70-servolux-professional-bzmzh,1219,0,CREAM NUVO
510983,"Сыр Золото Европы Dolce пармезан, ~6кг",https://online.metro-cc.ru/products/zoloto-evropy-dolce-parmezan-6-kg-bzmzh,10314,0,DOLCE
44418,"Сыр Предгорье Кавказа Адыгейский легкий 30%, 300г",https://online.metro-cc.ru/products/predgorye-adygejskij-legkij-300-g,369,0,ПРЕДГОРЬЕ КАВКАЗА
584285,"Сыр Bonfesto Рикотта 40%, 500г",https://online.metro-cc.ru/products/rikotta-bonfesto-40-500g-bzmzh,262,249,BONFESTO
215910,"Сыр Natura Сливочный полутвердый нарезка 45%, 300г",https://online.metro-cc.ru/products/300g-syr-slivochnyy-45-natura-narezka-bzmzh,439,0,NATURA
621675,"METRO Chef Сыр Эдам 40% полутвердый нарезка, 1кг",https://online.metro-cc.ru/products/edam-40-narezka-metro-chef-1-kg,1079,0,METRO CHEF
132383,"Сыр плавленый Карат дружба 45%, 400г",https://online.metro-cc.ru/products/syr-plavlennyy-45-karat-druzhba-400g-bzmzh,255,0,КАРАТ
223265,"METRO Chef Сыр чеддер красный 50%, 200г",https://online.metro-cc.ru/products/200g-syr-cheddar-krasnyy-50-metro-chef-bzmzh,277,0,METRO CHEF
119889,"METRO Chef Сыр Маасдам полутвердый нарезка 45%, 150г",https://online.metro-cc.ru/products/150g-45-maasdam-metro-chef-narezka-bzmzh,207,0,METRO CHEF
644206,"METRO Chef Сыр с голубой плесенью, 400г",https://online.metro-cc.ru/products/s-goluboj-metro-chef-400-g,839,719,METRO CHEF
621687,"METRO Chef Сыр Маасдам 45%, ~1кг",https://online.metro-cc.ru/products/metro-chef-maasdam-45-bez-soderzhaniya-molochnogo-zhira-1-kg,1199,0,METRO CHEF
511282,"Сыр Брест-Литовск Классический полутвердый нарезка 45%, 150г",https://online.metro-cc.ru/products/brest-litovskoe-klassicheskij-45-narezka-150g-bzmzh,182,0,БРЕСТ-ЛИТОВСК
111786,"METRO Chef Сыр Маскарпоне 80%, 250г",https://online.metro-cc.ru/products/metro-chef-maskorpone-80-250g,296,0,METRO CHEF
98478,"METRO Chef Сыр Чеддер плавленый 45%, 738г",https://online.metro-cc.ru/products/metro-chef-chedder-45-bzmzh-738-g,689,0,METRO CHEF
134952,"Сыр плавленый Hochland сливочный 55%, 200г",https://online.metro-cc.ru/products/plavlennyj-hochland-slivochnyj-55-200g-bzmzh,208,0,HOCHLAND
586635,"Сыр Dorblu Classic с голубой плесенью 50%, 100г",https://online.metro-cc.ru/products/dorblu-classic-50-s-goluboj-100-g-bzmzh,359,0,DORBLU
238056,"Сыр Mlekara Sabac Сербская брынза 45%, 220г",https://online.metro-cc.ru/products/syr-brynza-mlekara-sabac-serbskaya-45-220g,229,219,MLEKARA SABAC
76003,"Сыр Брест-Литовск Финский полутвердый 45%, 200г",https://online.metro-cc.ru/products/art-76003,195,0,БРЕСТ-ЛИТОВСК
132384,"Сыр творожный Виолетта Violette Сливочный 70%, 140г",https://online.metro-cc.ru/products/syr-tvorozhnyy-70-violetta-slivochnyy-140g-bzmzh,122,109,ВИОЛЕТТА
218396,"Сыр Pretto Моцарелла для пиццы-лазаньи-запекания 45%, 370г",https://online.metro-cc.ru/products/370g-motsarella-45-pretto-dpitstsylazanizapekaniya-bzmzh,469,339,PRETTO
534743,"Сыр творожный Hochland с зеленью 60%, 220г",https://online.metro-cc.ru/products/hochland-s-zelenyu-220g-bzmzh,224,169,HOCHLAND
254896,"Сыр Ларец с грецкими орехами 45%, ~1кг",https://online.metro-cc.ru/products/1kg-syr-45-larets-s-gretskimi-orehami-bzmzh,1269,0,ЛАРЕЦ
583783,"Сыр Milkana GrandBlu Creamy с голубой плесенью 56%, ~650г",https://online.metro-cc.ru/products/milkana-grandblu-13kg-bzmzh,3274.7,0,GRANDBLU
119949,"METRO Chef Сыр легкий 30%, ~1кг",https://online.metro-cc.ru/products/1kg-30-legkij-metro-chef-bzmzh,1069,0,METRO CHEF
88242,"Сыр Умалат Сулугуни палочки 45%, 120г",https://online.metro-cc.ru/products/suluguni-palochki-umalat-45-120-g,168,134,УМАЛАТ
110756,"METRO Chef Сыр Камамбер 50%, 125г",https://online.metro-cc.ru/products/metro-chef-kamamber-50-125g,243,0,METRO CHEF
217687,"Сыр Боровский сыр косичка копченый 43%, 100г",https://online.metro-cc.ru/products/100g-syr-kosichka-43-borovskiy-kopchenyy-45-bzmzh,211,0,БОРОВСКИЙ СЫР
482221,"Сыр Bonfesto Моцарелла mini мягкий 45%, 100г",https://online.metro-cc.ru/products/mocarella-bonfesto-mini-100g-bzmzh,143,135,BONFESTO
604657,"Сыр La Paulina Гойя Пармезан твердый 40%, ~300г",https://online.metro-cc.ru/products/la-paulina-gojya-40-350g-bzmzh,734.65,0,LA PAULINA
134936,"Сыр плавленый Hochland Ассорти синее треугольники 50%, 140г",https://online.metro-cc.ru/products/plavlennyj-hochland-assorti-sinee-50-140g-bzmzh,165,0,HOCHLAND
256264,"Сыр Маасдам Viola кусок 45%, 180г",https://online.metro-cc.ru/products/180g-syr-maasdam-45-viola-kusok-bzmzh,294,225.01,VIOLA
241746,"Сыр Кабош Levenkaas полутвердый 45%, ~875г",https://online.metro-cc.ru/products/875g-syr-leveenkaas-45-kabosh-bzmzh,1189.13,830.38,КАБОШ
530731,"Сыр La Paulina Моцарелла 42%, ~3.3кг",https://online.metro-cc.ru/products/mocarella-la-paulina-41-35kg-bzmzh,3356.5,0,LA PAULINA
